,GNIS_NAME,TPavg,chlaavg
186,White Clay Lake,48.741600000000005,22.422857142857143
187,Crystal Lake,12.385238095238094,2.7465220588235297
188,Elkhart Lake,12.135833333333334,4.211186440677967
189,,22.235057471264373,5.2795
190,Random Lake,24.258426966292134,8.323292682926828
191,Esadore Lake,20.76805555555556,10.138571428571428
192,,64.97763157894738,36.938793103448276
193,,91.6421686746988,45.389375
194,Alma Lake,14.639032258064514,4.542025316455695
195,Round Lake,34.33157894736841,12.546753246753248
196,Anderson Lake,10.083956043956043,1.3977236842105263
197,Annabelle Lake,16.621415094339625,5.064578313253012
198,Anvil Lake,15.725254237288135,5.687112676056339
199,Big Portage Lake,11.179021739130437,3.1157624999999998
200,Big Sand Lake,20.76808510638298,7.0045714285714284
201,Birch Lake,18.807272727272732,5.498970588235294
202,Black Oak Lake,14.161649484536083,1.616720588235294
203,Bobidosh Lake,11.073373493975906,2.7774133333333335
204,Carlin Lake,7.570847457627118,1.8253793103448275
205,Carpenter Lake,17.084883720930236,6.059275362318841
206,Crab Lake,11.744158415841582,2.6544565217391307
207,Deerskin Lake,16.021153846153847,4.572934782608696
208,Hiawatha Lake,28.349782608695655,3.5629999999999997
209,Horsehead Lake,19.75929411764706,7.7724285714285735
210,,37.59212121212121,20.522464788732393
211,Little Crawling Stone Lake,9.891267605633804,2.442786885245901
212,Little Crooked Lake,23.269491525423728,8.863770491803278
213,Little Spider Lake,15.97909090909091,5.009295454545454
214,Long Lake,12.843522727272727,3.4151
215,McDonald Lake,15.443999999999999,4.4178651685393255
216,Moon Lake,12.653804347826085,2.702428571428572
217,Muskellunge Lake,42.460629921259844,22.129439252336446
218,Myrtle Lake,21.008375,4.836461538461538
219,North Turtle Lake,17.53837606837607,5.600421052631579
220,Papoose Lake,11.144404761904761,2.204456790123457
221,Shishebogama Lake,17.198382352941177,6.084761904761907
222,Snipe Lake,18.12969230769231,5.5590909090909095
223,South Turtle Lake,22.610784313725492,8.275113636363637
224,,17.156410256410254,3.78713698630137
225,Towanda Lake,14.495,5.78625
226,Round Lake,36.24303797468354,14.373076923076923
227,Upper Gresham Lake,18.131460674157303,5.078526315789474
228,,35.29740740740741,11.647242236024846
229,Eagle Spring Lake,18.665000000000003,5.38709090909091
230,Lake Geneva 36,12.440272108843535,3.0730129870129868
231,Middle Lake,12.534875,3.49328125
232,Mill Lake,17.071014492753626,5.410166666666666
233,Middle Lake,13.113584905660376,3.9829670329670335
234,Middle Lake,17.64768292682927,5.9709375
235,Pleasant Lake,13.787849462365589,4.226521739130435
236,Powers Lake,16.60669724770642,4.11119801980198
237,Turtle Lake,20.965116279069772,6.309116883116882
238,Whitewater Lake,30.305263157894743,12.894601226993863
239,Bass Lake,15.568545454545456,2.4571176470588236
240,Bear Lake,21.65,9.988703703703704
241,McKenzie Lake,19.846534653465348,6.748055555555556
242,Deep Lake,28.70212121212121,13.519807692307694
243,Long Lake,24.734313725490193,10.264252873563219
244,Lower McKenzie Lake,22.914545454545454,7.58317391304348
245,Cranberry Lake,33.975,15.749154929577472
246,North Twin Lake,16.758235294117647,3.6669875
247,Potato Lake,32.556716417910444,11.608823529411769
248,Red Cedar Lake,24.664336283185847,11.943437500000002
249,Shell Lake,14.55254716981132,6.294612903225806
250,,12.767692307692307,3.240258426966292
251,Stone Lake,9.98050847457627,1.7495454545454545
252,Cedar Lake,14.618664122137405,4.768296
253,Friess Lake,49.36752136752136,20.699701923076926
254,Green Lake,17.35149253731343,4.997964601769912
255,Lake Five,19.348514851485145,4.4659523809523805
256,Pike Lake,32.31818181818182,7.675098214285714
257,Ashippun Lake,15.604509803921571,4.834329787234043
258,Eagle Spring Lake,18.665000000000003,5.38709090909091
259,Lac La Belle,17.992125984251967,5.019535087719298
260,Lake Five,19.348514851485145,4.4659523809523805
261,Little Muskego Lake 11.6,33.30597014925373,15.4515625
262,Phantom Lake,18.715384615384615,3.3062459016393437
263,Lake Nagawicka 46,26.921382113821142,3.8118965517241383
264,North Lake,26.027083333333337,58.53471951219511
265,Oconomowoc Lake,10.760142857142858,2.3512153846153847
266,,21.306622516556292,5.915985401459854
267,Ottawa Lake,18.088499999999996,3.7024242424242426
268,Pewaukee Lake 27.6,23.43525179856115,6.890201754385965
269,Pine Lake,32.275735294117645,3.296205882352941
270,Pretty Lake,14.121,2.8532876712328767
271,Upper Nemahbin Lake,15.82136842105263,2.790397849462366
272,School Section Lake,46.111607142857146,13.925454545454546
273,Silver Lake,50.58301886792452,17.15280487804878
274,Stratton Lake,18.71473684210526,3.526602272727273
275,Alpine Lake 4,21.81752577319588,5.260243902439025
276,Gilbert Lake,10.177473684210527,1.7841470588235286
277,Mount Morris Lake 8,20.08311475409836,5.155657894736842
278,Hills Lake,11.405578947368419,3.4461279069767436
279,Marl Lake,19.71195652173913,4.4844067796610165
280,Pine Lake,19.981690140845068,4.386862745098038
281,Pleasant Lake,12.274873949579833,3.5785161290322582
282,Lake Winnebago 6124,104.36877862595419,35.237419354838714
